ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Ekhidna	0	0	0	0	0	0	0	0	0	0.69841	0.141446	28.79297	0.04528	0.381957	0.42864
Elioraea	2.71573	0.34808	0.91681	5.07627	2.85852	0.376219	6.4728	38.8877	20.3934	13.1903	19.6412	4.09373	37.127	22.0183	19.8331
Elizabethkingia	0	0.033571	0.018444	0.597444	0.368554	0	0	0	0	1.37928	0.483222	1.75564	0.702766	0.482037	2.58263
Emticicia	0	0	0.032302	0	0	0	0.309173	0.565858	0.138031	0	0	0.327786	0	0	0
Enterovirga	0	0	0	0	0	0	0	0	0	1.46928	0	0	5.33649	0.182691	0.02067
Erythrobacter/Porphyrobacter group	2.091085	0.078052	0.4379	1.348263	0.303931	0.888914	71.708763	98.34285	168.062558	12.625388	132.374378	265.357708	69.185371	45.012429	30.777472
Escherichia	0	0	0.285778	0	0.385027	0	0	0	0	0	0	0	0	0	0
Euryhalocaulis	0	0	0	0	0	0	0.073166	0	0	6.20581	2.379545	3.16859	0.640705	0.568808	1.30194
Falsihalocynthiibacter	0	0	0	0	0	0	0	0	0	15.035	0.058573	3.50316	2.21743	0.086498	1.52264
Falsochrobactrum	0	0.017996	0.112698	4.588	0.547422	0.089312	0.956074	1.65424	8.0976	0	0	0	0	0	0
Ferrimonas	0	0	0	0	0	0	0	0	0	6.59203	1.94436	1.84027	0.473586	0.588343	1.70733
Ferrovibrio	0	0	0	0	0	0	0	0	0	4.93063	2.110645	44.479	1.35871	2.802	2.89866
Flagellatimonas	0	0	0.031261	0	0	0.041702	2.485098	1.028091	1.715852	0.376248	0.412233	0.743388	0	0	0
Flagellimonas	2970.860215	428.17087	605.578092	1869.621062	487.296136	317.750087	53.615721	98.963541	59.498264	366.850625	87.818682	59.180258	1086.538024	465.010777	1441.844248
Flammeovirga	0	0	0	0	0	0	0	0	0	0.26464	0.090683	10.3238	0	0.109781	0.17347
Flavimaribacter	2.01503	0.520834	1.442635	5.199824	3.83244	0.987791	9.49041	59.7882	27.87452	21.81876	27.10793	9.13779	54.23591	35.33722	27.61371
Flavimaricola	0	0	0	0	0	0	0	0	0	24.1132	0.117188	6.38126	3.51035	0.156629	2.20577
Flaviramulus	13.7572	2.29069	2.6573	8.17943	2.02712	1.01677	0.247345	0.244374	0.6237	0.757672	0.352885	0.141514	2.66553	0.866847	0.916449
