ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
M41	72.9606	132.880298	108.594	7.08843	7.0854	9.28011	0.395249	1.168483	0.804485	2.145858	0.895766	0.607054	0.439137	0.401475	0.233665
M43B	31.1431	8.78927	15.814878	39.237	39.2328	19.3562	17.360299	31.0169	31.2405	28.803087	46.381146	58.945005	97.654731	132.633602	91.844825
M48	19.41564	6.342176	12.703611	66.908388	60.973915	68.106628	94.182206	100.518947	85.049949	86.727918	97.515808	59.631704	48.488706	32.447104	33.279941
M48C	349.671889	457.488428	413.078667	206.463971	166.413009	162.205538	192.391052	203.132462	214.232598	226.258996	215.991474	160.802304	205.585902	181.716084	175.579327
M49	0	0	0	0.049513	0.006417	0	0.058178	1.08741	1.15992	0.226359	0.240684	10.3374	0.436669	0.347796	0.129529
M50B	0	0	0	0.055875	0	0	0	0	0	0.15569	0.0772	0.842967	0	0.116713	0.043431
M57	0	0	0.015794	0	0	0	0.085573	0	0	0.628697	34.455793	68.00792	0.053758	2.432535	3.89921
M61	12.326241	1.652645	2.653464	8.565051	2.51995	1.813284	15.523448	8.189697	17.826611	7.490863	6.538298	32.943208	8.824851	3.78211	23.653344
M64	0	0	0	0	0	0	0	0	0	16.8955	19.7846	24.206	74.0663	101.135	76.6271
M72	0.207798	0.100651	0.227997	0.656681	0.578606	0.685416	18.832983	10.1352	19.1184	15.333481	22.66408	33.062876	69.356822	91.832733	88.496673
M74	22.992379	6.667779	15.334962	67.148296	59.267846	64.262552	89.404056	114.102766	83.867862	76.096019	49.540747	38.279844	81.88253	75.130144	86.463595
M75	87.146109	145.855349	123.510316	61.948104	60.966232	69.610195	96.003284	66.664065	76.910244	77.272863	63.199802	54.332037	60.09192	52.260482	50.272856
M81	44.25365	10.11476	20.41493	48.8615	43.84777	23.35695	17.153824	38.160395	32.471974	8.61046	11.023146	17.314041	6.09653	2.715903	8.159839
M98	0.120205	0.056846	0.099372	0.29438	0.446181	0.563341	16.4188	8.41589	15.5219	16.747761	24.40551	17.530288	69.290378	86.175247	69.54587
N04	0	0	0	0	0.003885	0	0	0.064589	0	4.154992	5.13614	23.899338	3.686517	3.151273	2.054058
P01	40.1701	10.7344	22.4021	50.1136	47.3873	27.4452	22.131991	38.508685	35.562357	9.07824	11.633604	21.722711	4.447275	4.64166	11.15635
S01	0	0	0	0	0	0	0	0	0	2.248447	0.689849	1.008338	6.376816	0.404476	0.333765
S01A	92.850635	31.765797	59.662316	326.298532	240.39694	271.308271	318.912002	318.4487	271.450287	221.550117	193.250038	99.792037	129.828555	103.210403	95.07907
S01B	4.486709	6.039214	11.284388	45.698777	50.667287	61.420108	134.173748	40.635348	82.044308	53.593087	64.513789	48.547833	106.092719	144.68187	142.253359
S01C	138.305683	138.951196	142.221778	180.00353	138.45436	141.399118	171.682542	245.478565	164.893659	398.889701	393.924176	238.193051	368.957937	331.439129	288.234282
S01D	0	0	0	0.051656	0.024786	0	0	0	0	19.520172	1.238809	4.350289	23.905633	3.851735	5.417661
S01E	0	0	0.102757	0	0.049673	0	0	0	0	0	0	0	0	0	0
S06	10.8209	1.60072	2.22486	7.33649	1.74326	1.26783	0.282485	0.236061	0.171381	1.144	0.253886	0.068321	1.97745	0.856879	0.451638
S08A	407.72637	354.993504	368.508121	343.631714	322.461396	212.976601	355.482212	340.434659	462.483056	347.657161	386.773573	374.150077	635.007361	643.017349	553.465811
S08B	13.024981	1.459922	2.468728	6.959214	2.325878	1.286154	0.213613	0.40708	0.472839	83.020755	22.845306	34.769726	131.637766	110.36752	105.637435
S09	848.730989	554.22633	643.558441	1002.299776	894.647248	615.866699	689.2352	934.890706	938.087003	739.12828	759.493924	783.155929	792.886733	840.974394	847.912657
S09A	32.686325	4.850029	6.948174	21.85366	7.060133	4.747	34.308918	22.425086	43.881656	275.137375	334.142652	173.348613	230.124634	143.005444	174.64053
S09B	214.855118	62.755329	123.887256	320.441668	309.27734	187.840131	203.824755	252.948814	278.846621	178.044713	274.606941	228.499518	138.913403	131.772479	134.193134
S09C	90.908442	140.721441	122.064616	14.622058	9.404032	12.78587	24.451925	13.726053	31.431906	113.104996	142.916622	92.941114	100.105728	65.175514	100.741197
S09D	77.1087	20.83643	39.317266	94.391569	88.892298	47.995408	35.746401	64.129389	67.864772	25.465112	34.626331	44.60435	5.868399	5.122147	5.511719
S10	112.803594	29.656288	55.042175	138.12524	127.8969	72.21731	77.808882	116.747927	132.194129	84.693373	93.397301	74.481393	32.932143	13.20508	33.241971
S11	284.241624	296.399771	290.512947	226.951761	205.833489	199.158398	253.872833	309.315308	258.017437	291.599878	262.124622	167.295652	212.374858	158.824115	173.326096
S12	833.486878	427.492405	547.234421	944.207975	881.219779	628.62711	706.638362	803.12566	854.642003	784.331379	788.807122	838.954024	526.02607	404.762067	440.052312
