ID	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
M42	124.585429	126.79501	94.505906	226.527265	147.048261	34.506574	214.552856	137.921053	303.31677	140.764217	64.745814	214.03757	143.557774	237.488303	73.03985
M43B	31.1431	28.803087	18.592729	97.654731	39.237	8.78927	46.381146	31.0169	132.633602	39.2328	15.814878	58.945005	31.947523	91.844825	19.3562
M48	41.608176	116.318868	103.068639	57.511229	101.817312	8.724859	131.283864	170.247904	47.678379	80.40394	15.341291	82.552533	102.775383	55.892047	89.427779
M48A	44.076327	13.348723	19.323837	7.44823	51.294142	12.509093	25.829275	34.233085	4.771021	42.89537	20.735953	37.697407	31.902657	9.875412	22.987434
M48B	169.395795	175.047287	47.303913	210.160266	34.839705	272.809704	179.275167	75.105815	180.858147	21.039745	231.895391	124.003953	95.609486	178.551334	25.022559
M48C	400.87112	309.526617	378.736574	223.767776	358.859484	474.289597	262.119358	358.558332	207.150181	294.542905	439.592558	204.93475	363.68457	205.542817	312.443988
M49	0	0.428627	0.535628	0.436669	0.640708	0	0.756886	1.266304	0.347796	0.630106	0.005225	11.001426	1.419955	0.129529	1.23007
M50	113.068691	106.833521	147.499593	202.069681	138.742368	26.28951	130.397822	144.637056	260.221169	132.679088	47.464706	122.553282	169.847249	220.459569	98.436787
M50A	0.069455	8.93184	0	1.878937	0	0.501006	1.670092	0.1039	2.155422	0	0	41.39265	2.35485	2.270734	0
M50B	81.706116	153.497109	118.414199	279.463273	59.2589	119.753336	169.959392	78.474229	306.530227	62.413939	118.960075	130.891574	103.917407	294.385418	72.214837
M55	0	2.747598	0.178308	3.36154	0	0.033571	0.786754	1.493143	3.24547	0.240181	0.146557	3.45131	0.634543	8.52843	0
M56	143.869035	38.875107	78.000462	13.492734	181.586726	36.36318	69.040597	105.547241	13.993897	146.320425	66.499379	83.149844	111.325573	14.752993	86.1641
M57	0	0.628697	0.085573	0.053758	0	0	34.455793	0	2.432535	0	0.015794	68.00792	0	3.89921	0
M61	50.932336	22.908345	34.628765	10.92683	50.105725	11.265599	37.284633	42.187211	6.640082	44.473711	20.424445	63.077724	55.609511	27.960585	25.835297
M64	0	16.8955	0	74.0663	0	0	19.7846	0	101.135	0	0	24.206	0	76.6271	0
M67	0	0	0.149295	0	0.985877	0	1.23036	0	0	0.756491	0	0.410061	0	0	2.15279
M67A	0	0	1.914639	0	0.67495	0	0.303256	0	0	0.766301	0	0	0	0	1.0899
M67B	0	2.83965	0.49702	8.615306	0	0	6.904821	2.943278	8.367677	0	0	37.012802	1.72028	23.047012	0
M72	0.207798	15.333481	18.832983	69.356822	0.656681	0.100651	22.66408	10.1352	91.832733	0.578606	0.227997	33.062876	19.1184	88.496673	0.685416
M74	22.992379	76.654862	89.404056	86.23518	67.148296	6.667779	50.035419	114.102766	80.353574	59.267846	15.334962	40.248105	83.867862	95.437774	64.262552
