genus	coculture_1_0d	coculture_2_0d	coculture_3_0d	coculture_1_9d	coculture_2_9d	coculture_3_9d	coculture_1_70d	coculture_2_70d	coculture_3_70d	coculture_1_450d	coculture_2_450d	coculture_3_450d	coculture_1_720d	coculture_2_720d	coculture_3_720d
Bradyrhizobium	0.107448404	0.042526047	0.059710556	0.318384701	0.393831985	0.414112133	0.6939878	1.04415637	0.9818425	1.242924073	0.812417371	1.117521648	1.571909768	1.271259758	1.31514658
Celeribacter	0.36491911	0.056701396	0.088047768	0.844323987	1.009825603	1.16961427	1.341439974	1.891837148	1.575608965	0.899417665	0.456164784	0.404166961	0.27559457	0.410182292	0.467223127
Bremerella	0	0	0	0	0	0	0.007081508	0.007089326	0.00607952	1.371993049	1.589512247	0.811365175	1.351434112	2.205620413	2.64963355
Salipiger	0.305112922	0.046576147	0.075903249	0.736516509	0.868450019	0.954477966	1.104715273	1.575855783	1.310136587	0.825228411	0.397630365	0.401135709	0.297029703	0.44885953	0.536441368
Rhodovulum	0.179418562	0.051638772	0.092095942	0.737524055	0.953275369	1.038310422	1.449685885	1.18493012	1.518866777	0.749006575	0.570205981	0.363750265	0.240890068	0.331809993	0.39495114
Octadecabacter	0.375055752	0.052651297	0.085011638	0.806037219	0.982560312	1.062551133	1.142146102	1.769293093	1.286831759	0.844537943	0.376436869	0.269781447	0.136776564	0.122138648	0.13232899
Roseivivax	0.284839638	0.053663821	0.083999595	0.719388218	0.877538449	0.958518085	1.141134458	1.444196881	1.276699226	0.699208309	0.368363156	0.261698107	0.152087374	0.214760456	0.260586319
Sphingomonas	0.067915501	0.043538572	0.050602166	0.145086699	0.207014249	0.211096185	0.385436373	0.49017622	0.512706197	0.772381272	0.676173464	0.810354758	0.887006226	0.747081395	0.761400651
Sagittula	0.181445891	0.018225449	0.031373343	0.35062619	0.317085239	0.343410062	0.350028832	0.679562487	0.469136303	1.028486641	0.486441208	1.137729996	0.317444116	0.376594164	0.366449511
Marinovum	0.158131614	0.033413323	0.056674426	0.453395936	0.647298212	0.72217116	0.960050178	0.934778205	1.010213594	0.502047827	0.312856379	0.180864715	0.116362152	0.140459445	0.163884365
Mameliella	0.187527876	0.029363223	0.048578079	0.456418575	0.545305826	0.601977638	0.701069308	0.922625076	0.80654967	0.489852333	0.245239032	0.23744809	0.125548637	0.314507018	0.415309446
Tateyamaria	0.114544054	0.031388273	0.054650339	0.384882772	0.64527856	0.719141071	1.050086496	0.774762001	0.998054554	0.424809699	0.318911663	0.124281341	0.071450444	0.0692119	0.086522801
Agrobacterium	0.068929165	0.019237974	0.030361299	0.152139525	0.154503317	0.137364025	0.246841142	0.79906826	0.503586917	0.599611777	0.440017358	0.350614839	0.859446769	0.630031858	0.634161238
Erythrobacter	0.026355269	0.005062625	0.007084303	0.056422605	0.051501106	0.056561657	0.536171332	0.864897711	1.455031816	0.269317154	0.385519796	0.500156615	0.735939573	0.305346619	0.188314332
Labrenzia	0.11353039	0.022275549	0.032385386	0.23778098	0.246397447	0.250487339	0.304504851	0.72209844	0.534997771	0.811000335	0.503597848	0.503187867	0.430744105	0.311453552	0.339983713
Antarctobacter	0.198678182	0.031388273	0.050602166	0.434252552	0.541266523	0.590867312	0.651498751	0.999594896	0.757913509	0.451233269	0.22505475	0.160656367	0.08063693	0.081425765	0.085504886
Roseibacterium	0.077038479	0.018225449	0.030361299	0.244833805	0.36050774	0.403001808	0.576637093	0.508405915	0.620111053	0.29269185	0.205879681	0.225323081	0.192916199	0.538427872	0.80517101
Yoonia	0.202732839	0.027338173	0.043517863	0.437275191	0.504912802	0.563596513	0.602939838	0.960097225	0.674826734	0.411597915	0.191750684	0.141458436	0.045932428	0.061069324	0.083469055
